4B,20565,3877,3484,
4B,20565,3484,3877,
4N,341,49,176,
4N,341,87,156,
4N,341,87,176,
4N,341,100,196,
4N,341,156,87,
4N,341,156,176,
4N,341,176,87,
4N,341,176,156,
4N,341,176,178,
4N,341,176,196,
4N,341,178,49,
4N,341,196,100,
4N,341,196,176,
5T,1623,29,5487,Y
5T,1623,29,5534,Y
5T,1623,32,37,
5T,1623,32,183,
5T,1623,32,196,
5T,1623,37,32,
5T,1623,37,196,
5T,1623,5487,29,Y
5T,1623,5487,132,Y
5T,1623,40,55,
5T,1623,40,75,
5T,1623,49,196,
5T,1623,50,5534,Y
5T,1623,50,187,Y
5T,1623,54,155,
5T,1623,55,40,
5T,1623,55,5495,
5T,1623,55,100,
5T,1623,55,132,
5T,1623,55,140,
5T,1623,55,148,
5T,1623,55,170,
5T,1623,5495,55,
5T,1623,5495,75,
5T,1623,5495,148,
5T,1623,69,183,
5T,1623,69,196,
5T,1623,75,40,
5T,1623,75,5495,
5T,1623,100,55,
5T,1623,132,29,Y
5T,1623,132,5487,Y
5T,1623,132,55,
5T,1623,132,147,Y
5T,1623,132,187,Y
5T,1623,132,196,
5T,1623,132,41,Y
5T,1623,140,55,
5T,1623,141,187,Y
5T,1623,148,55,
5T,1623,148,5495,
5T,1623,152,170,
5T,1623,155,54,
5T,1623,155,196,
5T,1623,160,132,Y
5T,1623,160,187,Y
5T,1623,5534,132,Y
5T,1623,170,55,
5T,1623,170,152,
5T,1623,183,32,
5T,1623,183,69,
5T,1623,187,50,Y
5T,1623,187,132,Y
5T,1623,187,141,Y
5T,1623,187,160,Y
5T,1623,196,32,
5T,1623,196,37,
5T,1623,196,49,
5T,1623,196,69,
5T,1623,196,132,
5T,1623,196,155,
5T,1623,196,183,
5T,1623,41,132,Y
5T,1623,41,147,Y
7F,2354,8225,55,
7F,2354,8225,128,
7F,2354,29,132,
7F,2354,29,147,
7F,2354,32,37,
7F,2354,32,69,
7F,2354,32,196,
7F,2354,37,32,
7F,2354,37,68,
7F,2354,37,196,
7F,2354,5487,132,
7F,2354,5487,41,
7F,2354,40,55,
7F,2354,40,75,
7F,2354,49,196,
7F,2354,50,132,
7F,2354,50,5534,
7F,2354,54,155,
7F,2354,55,8225,
7F,2354,55,40,
7F,2354,55,5495,
7F,2354,55,5509,Y
7F,2354,55,100,
7F,2354,55,132,
7F,2354,55,140,
7F,2354,55,148,
7F,2354,55,154,
7F,2354,55,170,
7F,2354,60,196,
7F,2354,5495,55,
7F,2354,5495,148,
7F,2354,68,37,
7F,2354,69,32,
7F,2354,69,183,
7F,2354,72,196,
7F,2354,75,40,
7F,2354,5509,55,Y
7F,2354,100,55,
7F,2354,128,8225,
7F,2354,132,29,
7F,2354,132,5487,
7F,2354,132,50,
7F,2354,132,55,
7F,2354,132,160,
7F,2354,132,5534,
7F,2354,132,196,
7F,2354,140,55,
7F,2354,140,41,
7F,2354,146,154,
7F,2354,147,29,
7F,2354,148,55,
7F,2354,148,5495,
7F,2354,152,170,
7F,2354,154,55,
7F,2354,154,146,
7F,2354,155,54,
7F,2354,155,196,
7F,2354,160,132,
7F,2354,5534,50,
7F,2354,5534,132,
7F,2354,170,55,
7F,2354,170,152,
7F,2354,183,69,
7F,2354,183,196,
7F,2354,196,32,
7F,2354,196,37,
7F,2354,196,49,
7F,2354,196,60,
7F,2354,196,69,
7F,2354,196,72,
7F,2354,196,132,
7F,2354,196,155,
7F,2354,41,5487,
7F,2354,41,140,
7H,16726,7177,3693,Y
7H,16726,7177,7117,Y
7H,16726,3531,3774,
7H,16726,7220,6714,Y
7H,16726,7220,3571,Y
7H,16726,3774,3531,
7H,16726,3774,5967,
7H,16726,3774,3599,
7H,16726,3774,3610,
7H,16726,3774,3628,
7H,16726,3774,3832,
7H,16726,3774,3664,
7H,16726,3774,6718,
7H,16726,3774,7088,
7H,16726,3774,3865,
7H,16726,5967,3774,
7H,16726,5967,7091,Y
7H,16726,5967,5962,Y
7H,16726,5967,5964,Y
7H,16726,5967,7098,Y
7H,16726,5967,7090,Y
7H,16726,6713,5962,Y
7H,16726,6714,7220,Y
7H,16726,6714,3571,Y
7H,16726,7199,7087,Y
7H,16726,3599,3774,
7H,16726,3599,6960,Y
7H,16726,3599,7093,Y
7H,16726,3599,6716,Y
7H,16726,3599,7213,Y
7H,16726,3599,5964,Y
7H,16726,3599,7094,Y
7H,16726,3599,7096,Y
7H,16726,3599,7206,Y
7H,16726,3599,7095,Y
7H,16726,3599,7097,Y
7H,16726,3599,8199,Y
7H,16726,3599,8200,Y
7H,16726,3599,5968,Y
7H,16726,7178,6755,Y
7H,16726,7178,3693,Y
7H,16726,3571,7220,Y
7H,16726,3571,6714,Y
7H,16726,3571,7092,Y
7H,16726,3571,3414,Y
7H,16726,3411,3420,Y
7H,16726,3411,3620,Y
7H,16726,3610,3774,
7H,16726,6960,3599,Y
7H,16726,6960,7201,Y
7H,16726,6755,7178,Y
7H,16726,6755,3693,Y
7H,16726,7093,7206,Y
7H,16726,7184,7190,Y
7H,16726,7184,3615,Y
7H,16726,7087,7199,Y
7H,16726,7087,7207,Y
7H,16726,3628,3774,
7H,16726,3832,3774,
7H,16726,3832,3420,Y
7H,16726,3832,3764,
7H,16726,3832,6722,Y
7H,16726,3832,3620,
7H,16726,3420,3411,Y
7H,16726,3420,3832,Y
7H,16726,3764,3832,
7H,16726,3764,7108,Y
7H,16726,3764,6717,Y
7H,16726,3764,7111,Y
7H,16726,3764,6722,Y
7H,16726,6715,3615,Y
7H,16726,6715,6724,Y
7H,16726,7185,3615,Y
7H,16726,7185,7188,Y
7H,16726,5962,5967,Y
7H,16726,5962,6713,Y
7H,16726,3664,3774,
7H,16726,6716,7209,Y
7H,16726,6716,5968,Y
7H,16726,7108,3764,Y
7H,16726,7108,7208,Y
7H,16726,7179,7181,Y
7H,16726,7179,3693,Y
7H,16726,6717,3764,Y
7H,16726,6717,7111,Y
7H,16726,7190,7184,Y
7H,16726,7190,7192,Y
7H,16726,7190,7088,Y
7H,16726,7213,3599,Y
7H,16726,7213,7096,Y
7H,16726,5964,5967,Y
7H,16726,5964,3599,Y
7H,16726,5964,7098,Y
7H,16726,7207,7087,Y
7H,16726,7207,6718,Y
7H,16726,7201,3599,Y
7H,16726,7201,6960,Y
7H,16726,6718,3774,
7H,16726,6718,7207,Y
7H,16726,6718,5966,Y
7H,16726,7183,7186,Y
7H,16726,7183,7187,Y
7H,16726,6719,3693,Y
7H,16726,7096,3599,Y
7H,16726,7096,7213,Y
7H,16726,7096,7201,Y
7H,16726,7206,3599,Y
7H,16726,7206,6767,Y
7H,16726,7095,3599,Y
7H,16726,7208,3764,Y
7H,16726,7097,7098,Y
7H,16726,5966,6718,Y
7H,16726,6720,3599,Y
7H,16726,8199,8200,Y
7H,16726,7092,3571,Y
7H,16726,7092,3620,Y
7H,16726,7111,3764,Y
7H,16726,7111,6717,Y
7H,16726,7180,7177,Y
7H,16726,7180,3693,Y
7H,16726,3615,7184,Y
7H,16726,3615,6715,Y
7H,16726,3615,7185,Y
7H,16726,3615,7183,Y
7H,16726,3615,6723,Y
7H,16726,3615,7192,Y
7H,16726,3615,6724,Y
7H,16726,3615,7186,Y
7H,16726,3615,7088,Y
7H,16726,3615,7187,Y
7H,16726,3615,7188,Y
7H,16726,8200,6720,Y
7H,16726,7181,7179,Y
7H,16726,7181,3693,Y
7H,16726,3693,7177,Y
7H,16726,3693,7178,Y
7H,16726,3693,6755,Y
7H,16726,3693,7179,Y
7H,16726,3693,7181,Y
7H,16726,3693,7117,Y
7H,16726,3693,7182,Y
7H,16726,3693,6725,Y
7H,16726,3414,3571,Y
7H,16726,6722,3832,Y
7H,16726,6722,3764,Y
7H,16726,7098,5967,Y
7H,16726,7098,3599,Y
7H,16726,7098,5964,Y
7H,16726,3620,3411,Y
7H,16726,3620,3832,
7H,16726,3620,7092,Y
7H,16726,7209,3599,Y
7H,16726,7117,7180,Y
7H,16726,6723,3615,Y
7H,16726,6723,7187,Y
7H,16726,7090,5967,Y
7H,16726,7192,7190,Y
7H,16726,7192,3615,Y
7H,16726,7192,7088,Y
7H,16726,7240,5967,Y
7H,16726,7191,7088,Y
7H,16726,6724,6715,Y
7H,16726,6724,3615,Y
7H,16726,7186,7183,Y
7H,16726,7186,3615,Y
7H,16726,6767,7206,Y
7H,16726,7088,3774,
7H,16726,7088,7192,Y
7H,16726,7088,7191,Y
7H,16726,5968,6716,Y
7H,16726,5968,7209,Y
7H,16726,3865,3774,
7H,16726,7187,7183,Y
7H,16726,7187,3615,Y
